Index,Model,Time 0,Time 1,Time 2,Time 3,NoD 0,NoD 1,NoD 2,NoD 3,ASPDiagTime
0,../data/two_lamps_example_orig.pl,0.003350973129272461,1,0.003387928009033203
1,../data/two_lamps_example_orig.pl,0.002845287322998047,1,0.002902984619140625
2,../data/two_lamps_example_orig.pl,0.00272369384765625,0.002596139907836914,0.0021979808807373047,0.0021169185638427734,0,1,0,0,0.00970005989074707
3,../data/two_lamps_example_orig.pl,0.0026628971099853516,0.0026328563690185547,0.0023653507232666016,0.00215911865234375,0,1,0,0,0.009884119033813477
4,../data/two_lamps_example_orig.pl,0.002819061279296875,0.0025720596313476562,0.002305746078491211,0.002206087112426758,0,1,0,0,0.009966850280761719
5,../data/two_lamps_example_orig.pl,0.0028030872344970703,1,0.0028569698333740234
6,../data/two_lamps_example_orig.pl,0.0027818679809570312,0.0027039051055908203,0.0023217201232910156,0.0022249221801757812,0,2,1,0,0.01011204719543457
